,Date,Favored Team,Underdog Team,Favored Spread,Predicted Outcome,Confidence,Vig,Over Under,Predicted Total,Over Under Vig,Over Under Bet To Take,Over Under Conf,Spread Bet To Take,Half Kelly,Quarter Kelly,Over Under H Kelly,Final Score,Spread Cover,Over Cover
495,01/24/2022,North Carolina,Virginia Tech,-4.5,North Carolina Wins By 3.4,55.25%,-115,141.5,137.4,-120.0,Under 141.5,56.35%,Virginia Tech +4.5,1.9%,0.8%,-0.%,78-68,0.0,0.0
496,01/24/2022,Delaware,Towson,-1.5,Towson Wins By 2.0,51.42%,-105,140.0,144.1,-110.0,Over 140.0,54.06%,Towson +1.5,0.2%,0.1%,1.6%,62-69,1.0,0.0
497,01/24/2022,Santa Clara,San Diego,-8.5,Santa Clara Wins By 8.3,51.42%,-115,145.5,143.8,-120.0,Under 145.5,56.35%,San Diego +8.5,-2.%,-1.%,-0.%,78-74,1.0,0.0
498,01/24/2022,Virginia,Louisville,-5.0,Virginia Wins By 3.5,55.25%,-105,122.0,128.7,-110.0,Over 122.0,56.35%,Louisville +5.0,4.1%,2.1%,1.6%,64-52,0.0,0.0
499,01/24/2022,George Mason,Saint Joseph's,-7.0,George Mason Wins By 5.6,55.25%,-110,138.0,135.3,-110.0,Under 138.0,56.35%,Saint Joseph's +7.0,3.0%,1.5%,1.6%,77-71,1.0,0.0
500,01/24/2022,Morehead State,Tennessee State,-13.0,Morehead State Wins By 11.2,51.42%,-110,136.5,138.9,100.0,Over 136.5,56.35%,Tennessee State +13.0,-1.%,-0.%,3.9%,67-54,1.0,0.0
501,01/24/2022,Jacksonville State,Bellarmine,-6.5,Jacksonville State Wins By 5.1,51.42%,-110,134.5,137.1,-120.0,Over 134.5,56.35%,Bellarmine +6.5,-1.%,-0.%,-0.%,65-60,1.0,0.0
502,01/24/2022,Texas Southern,Alabama State,-10.5,Texas Southern Wins By 10.2,51.42%,-120,135.5,137.0,-110.0,Over 135.5,56.35%,Alabama State +10.5,-3.%,-1.%,1.6%,73-66,1.0,1.0
503,01/24/2022,Colgate,Loyola MD,-11.0,Colgate Wins By 7.4,51.42%,-110,136.5,135.6,-105.0,Under 136.5,56.35%,Loyola MD +11.0,-1.%,-0.%,2.7%,65-52,0.0,1.0
504,01/24/2022,Southern Utah,Weber State,-2.5,Southern Utah Wins By 2.8,51.42%,-105,154.5,154.7,-115.0,Over 154.5,56.35%,Southern Utah -2.5,0.2%,0.1%,0.4%,84-92,0.0,1.0
505,01/24/2022,Howard,Coppin State,-2.5,Howard Wins By 2.6,51.42%,-110,158.0,155.1,-115.0,Under 158.0,54.06%,Howard -2.5,-1.%,-0.%,0.4%,81-83,0.0,0.0
506,01/24/2022,New Hampshire,Maine,-10.0,New Hampshire Wins By 8.4,51.42%,-110,124.0,128.6,-115.0,Over 124.0,54.06%,Maine +10.0,-1.%,-0.%,0.4%,64-71,1.0,1.0
